member_srl,ref_dt,rct_dt,dsl,dpo,label
165889,20170807,20170721,17,0.0,0
165889,20170822,20170721,32,0.0,0
165889,20170907,20170721,48,0.0,0
165889,20170922,20170721,63,0.0,0
165889,20171007,20170721,78,0.0,1
165889,20171022,20171021,1,46.0,1
165889,20171107,20171026,12,32.3333333333333,0
165889,20171122,20171026,27,32.3333333333333,0
165889,20171207,20171026,42,32.3333333333333,1
165889,20171222,20171221,1,30.6,1
165889,20180107,20180103,4,23.7142857142857,0
165889,20180122,20180103,19,23.7142857142857,0
165889,20180207,20180103,35,23.7142857142857,1
165889,20180222,20180217,5,26.375,0
165889,20180307,20180217,18,26.375,1
165889,20180322,20180321,1,27.0,0
165889,20180407,20180321,17,27.0,1
165889,20180422,20180419,3,27.2,0
165889,20180507,20180419,18,27.2,1
165889,20180522,20180521,1,27.6363636363636,0
165889,20180607,20180521,17,27.6363636363636,0
165889,20180622,20180521,32,27.6363636363636,1
174520,20170707,20170707,0,0.0,1
174520,20170722,20170720,2,4.5,0
174520,20170807,20170720,18,4.5,1
174520,20170822,20170818,4,7.83333333333333,1
174520,20170907,20170905,2,7.22222222222222,1
174520,20170922,20170910,12,7.0,1
174520,20171007,20171002,5,7.07692307692308,1
174520,20171022,20171016,6,7.57142857142857,1
174520,20171107,20171102,5,7.6875,1
174520,20171122,20171121,1,7.88888888888889,0
174520,20171207,20171121,16,7.88888888888889,1
174520,20171222,20171220,2,8.14285714285714,1
174520,20180107,20171229,9,7.5,0
174520,20180122,20171229,24,7.5,1
174520,20180207,20180201,6,8.23076923076923,0
174520,20180222,20180201,21,8.23076923076923,0
174520,20180307,20180201,34,8.23076923076923,1
174520,20180322,20180310,12,9.2962962962963,0
174520,20180407,20180310,28,9.2962962962963,0
174520,20180422,20180310,43,9.2962962962963,1
174520,20180507,20180430,7,10.4137931034483,1
174520,20180522,20180520,2,10.3870967741935,1
174520,20180607,20180602,5,10.46875,1
174520,20180622,20180615,7,10.5454545454545,1
175974,20170707,20170705,2,0.666666666666667,0
175974,20170722,20170705,17,0.666666666666667,1
175974,20170807,20170801,6,7.25,1
175974,20170822,20170822,0,8.4,0
175974,20170907,20170822,16,8.33333333333333,1
175974,20170922,20170920,2,9.875,0
175974,20171007,20170920,17,9.875,0
175974,20171022,20170920,32,9.875,1
175974,20171107,20171026,12,12.7777777777778,0
175974,20171122,20171026,27,12.7777777777778,1
175974,20171207,20171124,13,14.4,1
175974,20171222,20171211,11,14.6363636363636,1
175974,20180107,20180102,5,13.0714285714286,1
175974,20180122,20180114,8,13.0,0
175974,20180207,20180207,0,13.0,1
175974,20180222,20180221,1,12.2631578947368,0
175974,20180307,20180221,14,12.2631578947368,1
175974,20180322,20180313,9,12.65,1
175974,20180407,20180404,3,12.5,0
175974,20180422,20180404,18,12.5,1
175974,20180507,20180424,13,12.8260869565217,1
175974,20180522,20180514,8,13.125,1
175974,20180607,20180529,9,13.2,1
175974,20180622,20180614,8,13.3076923076923,0
187938,20170922,20170916,6,0.0,0
187938,20171007,20170916,21,0.0,1
187938,20171022,20171013,9,13.5,0
187938,20171107,20171013,25,13.5,0
187938,20171122,20171013,40,13.5,0
187938,20171207,20171013,55,13.5,0
187938,20171222,20171013,70,13.5,0
187938,20180107,20171013,86,13.5,0
187938,20180122,20171013,101,13.5,0
187938,20180207,20171013,117,13.5,0
187938,20180222,20171013,132,13.5,0
187938,20180307,20171013,145,13.5,0
187938,20180322,20171013,160,13.5,0
187938,20180407,20171013,176,13.5,0
187938,20180422,20171013,191,13.5,1
187938,20180507,20180428,9,74.6666666666667,0
187938,20180522,20180428,24,74.6666666666667,0
187938,20180607,20180428,40,74.6666666666667,0
187938,20180622,20180428,55,74.6666666666667,0
190715,20170907,20170827,11,0.0,0
190715,20170922,20170827,26,0.0,0
190715,20171007,20170827,41,0.0,0
190715,20171022,20170827,56,0.0,0
190715,20171107,20170827,72,0.0,0
190715,20171122,20170827,87,0.0,0
190715,20171207,20170827,102,0.0,0
190715,20171222,20170827,117,0.0,0
190715,20180107,20180107,0,0.0,1
190715,20180122,20180121,1,49.0,0
190715,20180207,20180121,17,49.0,0
190715,20180222,20180121,32,49.0,0
190715,20180307,20180121,45,49.0,0
190715,20180322,20180121,60,49.0,0
190715,20180407,20180121,76,49.0,0
190715,20180422,20180121,91,49.0,0
190715,20180507,20180121,106,49.0,1
190715,20180522,20180508,14,63.5,1
190715,20180607,20180605,2,56.4,0
190715,20180622,20180605,17,56.4,0
194327,20170722,20170719,3,0.0,1
194327,20170807,20170804,3,3.2,0
194327,20170822,20170804,18,3.2,1
194327,20170907,20170824,14,6.0,0
194327,20170922,20170824,29,6.0,1
194327,20171007,20170930,7,9.125,1
194327,20171022,20171011,11,9.33333333333333,0
194327,20171107,20171011,27,9.33333333333333,0
194327,20171122,20171011,42,9.33333333333333,0
194327,20171207,20171011,57,9.33333333333333,0
194327,20171222,20171011,72,9.33333333333333,0
194327,20180107,20171011,88,9.33333333333333,0
194327,20180122,20171011,103,9.33333333333333,0
194327,20180207,20180206,1,20.2,0
194327,20180222,20180206,16,20.2,0
194327,20180307,20180206,29,20.2,0
194327,20180322,20180206,44,20.2,1
194327,20180407,20180331,7,21.25,0
194327,20180422,20180331,22,21.25,1
194327,20180507,20180506,1,19.4,0
194327,20180522,20180506,16,19.4,1
194327,20180607,20180530,8,19.6875,1
194327,20180622,20180617,5,19.5882352941176,1
195569,20170707,20170703,4,0.0,0
195569,20170722,20170703,19,0.0,0
195569,20170807,20170703,35,0.0,0
195569,20170822,20170703,50,0.0,0
195569,20170907,20170703,66,0.0,1
195569,20170922,20170921,1,40.0,0
195569,20171007,20170921,16,40.0,1
195569,20171022,20171008,14,32.3333333333333,1
195569,20171107,20171026,12,28.75,0
195569,20171122,20171026,27,28.75,0
195569,20171207,20171026,42,28.75,0
195569,20171222,20171026,57,28.75,0
195569,20180107,20171026,73,28.75,0
195569,20180122,20171026,88,28.75,0
195569,20180207,20171026,104,28.75,0
195569,20180222,20171026,119,28.75,0
195569,20180307,20171026,132,28.75,0
195569,20180322,20171026,147,28.75,0
195569,20180407,20171026,163,28.75,0
195569,20180422,20171026,178,28.75,0
195569,20180507,20171026,193,28.75,0
195569,20180522,20171026,208,28.75,1
195569,20180607,20180523,15,64.8,0
195569,20180622,20180523,30,64.8,1
196582,20170722,20170711,11,0.0,0
196582,20170807,20170711,27,0.0,1
196582,20170822,20170818,4,19.0,0
196582,20170907,20170818,20,19.0,1
196582,20170922,20170918,4,23.0,0
196582,20171007,20170918,19,23.0,0
196582,20171022,20170918,34,23.0,0
196582,20171107,20170918,50,23.0,0
196582,20171122,20170918,65,23.0,0
